iter	Passed	Remaining
827	3999	830
828	4007	826
829	4010	821
830	4012	816
831	4015	810
832	4024	806
833	4027	801
834	4030	796
835	4032	791
836	4045	787
837	4049	782
838	4054	777
839	4059	773
840	4062	767
841	4071	763
842	4073	758
843	4076	753
844	4113	754
845	4119	749
846	4121	744
847	4125	739
848	4128	734
849	4137	730
850	4139	724
851	4142	719
852	4144	714
853	4151	709
854	4153	704
855	4206	707
856	4208	702
857	4215	697
858	4219	692
859	4221	687
860	4223	681
861	4226	676
862	4233	672
863	4236	666
864	4238	661
865	4240	656
866	4242	650
867	4302	654
868	4306	649
869	4308	643
870	4311	638
871	4313	633
872	4316	627
873	4318	622
874	4325	617
875	4327	612
876	4330	607
877	4332	601
878	4334	596
879	4384	597
880	4412	596
881	4414	590
882	4417	585
883	4426	580
884	4428	575
885	4431	570
886	4433	564
887	4439	559
888	4442	554
889	4444	549
890	4447	544
891	4449	538
892	4452	533
893	4454	528
894	4457	522
895	4459	517
896	4462	512
897	4465	507
898	4473	502
899	4478	497
900	4481	492
901	4483	487
902	4491	482
903	4497	477
904	4506	473
905	4508	467
906	4511	462
907	4516	457
908	4518	452
909	4521	447
910	4524	442
911	4527	436
912	4530	431
913	4533	426
914	4546	422
915	4548	417
916	4551	411
917	4554	406
918	4559	401
919	4561	396
920	4565	391
921	4569	386
922	4575	381
923	4578	376
924	4581	371
925	4589	366
926	4593	361
927	4596	356
928	4607	352
929	4613	347
930	4615	342
931	4622	337
932	4625	332
933	4629	327
934	4631	321
935	4636	317
936	4639	311
937	4642	306
938	4644	301
939	4653	297
940	4657	292
941	4660	286
942	4662	281
943	4675	277
944	4677	272
945	4680	267
946	4684	262
947	4688	257
948	4692	252
949	4694	247
950	4706	242
951	4709	237
952	4711	232
953	4719	227
954	4722	222
955	4727	217
956	4734	212
957	4736	207
958	4738	202
959	4741	197
960	4749	192
961	4752	187
962	4755	182
963	4757	177
964	4759	172
965	4767	167
966	4769	162
967	4772	157
968	4774	152
969	4779	147
970	4782	142
971	4785	137
972	4788	132
973	4790	127
974	4799	123
975	4802	118
976	4804	113
977	4806	108
978	4813	103
979	4816	98
980	4819	93
981	4822	88
982	4828	83
983	4831	78
984	4834	73
985	4837	68
986	4843	63
987	4846	58
988	4849	53
989	4851	49
990	4860	44
991	4863	39
992	4865	34
993	4869	29
994	4874	24
995	4877	19
996	4879	14
997	4882	9
998	4884	4
999	4892	0
